Name,DamName,LakeName,Latitude,Longitude,Elevation,DrainArea,HydroZone,ZoneIndex,Basin,BasinIndex,Stream,StreamIndex
ALM,Lake Almanor,Lake Almanor,40.21800,-121.17300,4600,503,SACRAMENTO RIVER,3,FEATHER R,5,Nfk Feather Rv,24
ANT,Antelope,Antelope,40.18000,-120.60700,4960,71,SACRAMENTO RIVER,3,FEATHER R,5,Indian Creek,15
BER,Monticello,Lake Berryessa,38.51300,-122.10400,456,576,SACRAMENTO RIVER,3,PUTAH CR,13,Putah Creek,29
BLB,Black Butte,Black Butte,39.80800,-122.32900,426,741,SACRAMENTO RIVER,3,STONY CR,18,Stony Creek,42
BRD,Beardsley,Beardsley Lake,38.20300,-120.07500,3398,308.5,SAN JOAQUIN RIVER,4,STANISLAUS R,17,Mfk Stanislaus R,22
BTV,Butt Valley,Butt Valley Reservoir,40.18700,-121.18600,4144,86.2,SACRAMENTO RIVER,3,FEATHER R,5,Butt Creek,3
BUC,Buchanan,Eastman Lake,37.21300,-119.97000,450,235,SAN JOAQUIN RIVER,4,CHOWCHILLA R,4,Chowchilla River,7
BUL,New Bullards Bar,Bullards Bar Reservoir,39.39300,-121.14000,1965,481,SACRAMENTO RIVER,3,YUBA R,23,No Yuba Rv,28
CHV,Cherry Valley,Cherry Lake,37.96700,-119.91700,4765,114,SAN JOAQUIN RIVER,4,TUOLUMNE R,22,Cherry Creek,6
CLA,Clear Lake Imp,Clear Lake,38.95700,-122.64200,1336,514,SACRAMENTO RIVER,3,CACHE CR,2,Cache Creek,4
CLE,Trinity,Trinity Lake,40.80100,-122.76200,2370,688,NORTH COAST,1,TRINITY R,19,Trinity River,47
CMN,Camanche,Camanche Reservoir,38.22500,-121.02100,236,619,SAN JOAQUIN RIVER,4,MOKELUMNE R,12,Mokelumne River,23
COY,Coyote Valley,Lake Mendocino,39.19700,-123.18600,720,105,NORTH COAST,1,RUSSIAN R,14,E Fk Russian River,9
CPL,Caples Lake,Caples Lake,38.70700,-120.04800,7800,13,SACRAMENTO RIVER,3,AMERICAN R,1,Tr Silver Fork,46
CTG,Courtright,Helms Creek,37.07200,-118.96700,8192,39.2,TULARE LAKE,5,KINGS R,9,Helms Creek,14
DAV,Grizzly Valley,Lake Davis,39.88300,-120.46700,5768,44,SACRAMENTO RIVER,3,FEATHER R,5,Big Grizzly Cr,2
DNN,Unknown,Donner Lake,39.33300,-120.25000,5945,-9999,NORTH LAHONTAN,2,TRUCKEE R,20,Unknown,0
DNP,Don Pedro,New Don Pedro Reservoir,37.70200,-120.42100,830,1542,SAN JOAQUIN RIVER,4,TUOLUMNE R,22,Tuolumne River,49
DON,Donnells,Donnells Reservoir,38.32900,-119.96000,4835,229,SAN JOAQUIN RIVER,4,STANISLAUS R,17,Mfk Stanislaus R,22
ENG,Englebright,Englebright Lake,39.23900,-121.26700,551,1100,SACRAMENTO RIVER,3,YUBA R,23,Yuba River,50
EXC,New Exchequer,Lake McClure,37.58500,-120.27000,879,1040.1,SAN JOAQUIN RIVER,4,MERCED R,11,Merced River,21
FMD,Unknown,French Meadows Reservoir,39.11200,-120.46800,5263,-9999,SACRAMENTO RIVER,3,AMERICAN R,1,Unknown,0
FOL,Folsom,Folsom Lake,38.68300,-121.18300,466,1885,SACRAMENTO RIVER,3,AMERICAN R,1,American River,1
FRD,Frenchman,Frenchman Lake,39.88300,-120.18300,5517,82,SACRAMENTO RIVER,3,FEATHER R,5,L Last Chance Cr,19
FRM,Farmington,Unknown,37.91500,-120.93500,180,212,SAN JOAQUIN RIVER,4,LITTLEJOHN CR,10,Rock&Little John Cks,30
HHL,Lower Hell Hole,Hell Hole Reservoir,39.05800,-120.40700,4630,114,SACRAMENTO RIVER,3,AMERICAN R,1,Rubicon River,31
HID,Hidden,Hensley Lake,37.20000,-119.91700,561,234,SAN JOAQUIN RIVER,4,FRESNO R,6,Fresno River,11
HTH,O Shaughnessy,Hetch-Hetchy Reservoir,37.95000,-119.78300,3870,459,SAN JOAQUIN RIVER,4,TUOLUMNE R,22,Tuolumne River,49
ICH,Ice House,Ice House Reservoir,38.82400,-120.35900,5454,28.4,SACRAMENTO RIVER,3,AMERICAN R,1,Sfk Silver Creek,36
INP,Unknown,Independence Lake,39.45200,-120.29000,6921,-9999,NORTH LAHONTAN,2,TRUCKEE R,20,Unknown,0
INV,Indian Valley,Indian Valley Reservoir,39.08300,-122.53300,1502,122,SACRAMENTO RIVER,3,CACHE CR,2,No Fork Cache Creek,27
ISB,Isabella,Lake Isabella,35.64600,-118.47300,2635,2074,TULARE LAKE,5,KERN R,8,Kern River,17
KES,Keswick,Keswick Reservoir,40.60100,-122.44300,596,0,SACRAMENTO RIVER,3,SACRAMENTO R,15,Sacramento River,32
LEW,Lewiston,Lewiston Lake,40.72700,-122.79300,1870,31,NORTH COAST,1,TRINITY R,19,Trinity River,47
LGV,Little Grass Valley,Little Grass Valley Reservoir,39.72400,-121.01900,5047,27.3,SACRAMENTO RIVER,3,FEATHER R,5,Sfk Feather Rv,35
LON,Loon Lake,Loon Lake,38.98300,-120.32300,6410,8.1,SACRAMENTO RIVER,3,AMERICAN R,1,Gerle Creek,12
LVY,Lake Valley,Lake Valley Reservoir,39.30000,-120.58300,5855,4.75,SACRAMENTO RIVER,3,AMERICAN R,1,Tr Nfk American R,45
LYS,Lyons,Lyons Reservoir,38.09400,-120.16600,4134,67.8,SAN JOAQUIN RIVER,4,STANISLAUS R,17,Sfk Stanislaus R,37
MIL,Friant,Millerton Lake,37.00100,-119.70500,581,1675,SAN JOAQUIN RIVER,4,SAN JOAQUIN R,16,San Joaquin River,33
MMW,Indian Ole,Mountain Meadows,40.28300,-121.01700,5046,158,SACRAMENTO RIVER,3,FEATHER R,5,Hamilton Creek,13
NAT,Unknown,Lake Natoma,38.65000,-121.18300,132,-9999,SACRAMENTO RIVER,3,AMERICAN R,1,Unknown,0
NHG,New Hogan,New Hogan Lake,38.15200,-120.81200,554,363,SAN JOAQUIN RIVER,4,CALAVERAS R,3,Calaveras River,5
NML,New Melones,New Melones Reservoir,37.94810,-120.52500,1135,900,SAN JOAQUIN RIVER,4,STANISLAUS R,17,Stanislaus River,40
ORO,Oroville,Lake Oroville,39.54000,-121.49300,900,3607,SACRAMENTO RIVER,3,FEATHER R,5,Feather River,10
PAR,Pardee,Pardee Res,38.25000,-120.85000,568,575,SAN JOAQUIN RIVER,4,MOKELUMNE R,12,Mokelumne River,23
PNF,Pine Flat,Pine Flat Dam,36.83300,-119.32500,970,1545,TULARE LAKE,5,KINGS R,9,Kings River,18
RLF,Relief,Relief Reservoir,38.26700,-119.73300,7220,24.51,SAN JOAQUIN RIVER,4,STANISLAUS R,17,Summit Creek,43
SCC,Success,Lake Success,36.06100,-118.92200,692,393,TULARE LAKE,5,TULE R,21,Tule River,48
SHA,Shasta,Lake Shasta,40.71800,-122.42000,1067,6665,SACRAMENTO RIVER,3,SACRAMENTO R,15,Sacramento River,32
SIV,Silver Lake,Silver Lake,38.66900,-120.12100,7134,15.14,SACRAMENTO RIVER,3,AMERICAN R,1,Silver Fork,38
SLB,Slab Creek,Slab Creek Reservoir,38.77250,-120.69940,1850,497,SACRAMENTO RIVER,3,AMERICAN R,1,Sfk American Rv,34
SLC,Sly Creek,Unknown,39.58400,-121.11600,3536,23.9,SACRAMENTO RIVER,3,FEATHER R,5,Lost Creek,20
SLS,Salt Springs,Unknown,38.49700,-120.21600,3700,169,SAN JOAQUIN RIVER,4,MOKELUMNE R,12,Nfk Mokelumne Rv,26
SPM,Unknown,New Spicer Meadows Reservoir,38.39300,-119.99800,6516,-9999,SAN JOAQUIN RIVER,4,STANISLAUS R,17,Unknown,0
SWB,Main Strawberry,Pinecrest Lake,38.20000,-119.98300,5620,26.6,SAN JOAQUIN RIVER,4,STANISLAUS R,17,Sk Stanislaus R,39
TAB,Thermalito Ab,Thermalito Afterbay,39.45000,-121.63300,140,13.3,SACRAMENTO RIVER,3,FEATHER R,5,Tr Feather Rv,44
TRM,Terminus,Lake Kaweah,36.41500,-119.00200,752,561,TULARE LAKE,5,KAWEAH R,7,Kaweah River,16
TUL,Tulloch,Tulloch Reservoir,37.87500,-120.60300,515,971,SAN JOAQUIN RIVER,4,STANISLAUS R,17,Stanislaus Rv,41
WRS,Warm Springs,Warm Springs Reservoir,38.72300,-123.01000,440,130,NORTH COAST,1,RUSSIAN R,14,Dry Creek,8
WSN,Wishon,Lake Wishon,37.00500,-118.96900,6560,177,TULARE LAKE,5,KINGS R,9,Nfk Kings River,25
